id,source_agent,title,severity,status,estimated_effort,owner_type,dependencies,url_affected,recommendation_summary
ACT-015,AG01+AG08,"Duplicate FAQPage schema on homepage and /gyik — same question set dilutes rich-result signals",P2,READY,XS,SEO,,"https://panellako.hu/ https://panellako.hu/gyik","Reduce homepage FAQPage to 2-3 homepage-specific questions; /gyik owns the full FAQPage schema"
ACT-016,AG01+AG04,"Sitemap lastModified dates hardcoded to a single deploy date for all 49 pages",P2,READY,M,Engineering,,"https://panellako.hu/sitemap.xml (all 49 entries)","Replace static date constants with per-page content dates or derive from git log at build time"
ACT-017,AG01,"Homepage performs Supabase auth round-trip on every anonymous request — TTFB cost",P2,READY,S,Engineering,,"https://panellako.hu/","Move auth redirect to middleware.ts; homepage should not make DB calls for anonymous Googlebot requests"
ACT-018,AG01+AG04,"SoftwareApplication schema fires on every page including editorial content — incorrect entity type",P2,READY,S,Engineering,,"All 49 pages via layout.tsx","Restrict SoftwareApplication to product pages only (/funkciok /arak); global layout should emit Organization schema"
ACT-019,AG04,"next-pwa 5.6.0 is unmaintained — service worker precaches /w/ and /superadmin chunks",P2,READY,M,Engineering,,"https://panellako.hu (all pages)","Migrate to @ducanh2912/next-pwa or custom service worker; remove dead Google fonts cache handlers"
ACT-020,AG03,"Homepage H1 front-loads 'Digitális' instead of primary keyword 'Társasházkezelő szoftver'",P1,READY,XS,Content,,"https://panellako.hu/","Rewrite H1 to front-load primary keyword: 'Társasházkezelő szoftver közös képviselőknek — digitálisan'"
ACT-021,AG03,"/funkciok page meta description is thin (125ch) and lacks conversion hook and secondary keywords",P1,READY,XS,Content,,"https://panellako.hu/funkciok","Rewrite to 155-char keyword-rich description including 'közös képviselő szoftver' and '14 napos ingyenes próba'"
ACT-022,AG03,"/osszehasonlitas title targets wrong comparison frame — misses competitor-named queries",P1,READY,S,Content,,"https://panellako.hu/osszehasonlitas","Shorten title to 57ch; add H2 section targeting 'legjobb társasházi szoftver' and general comparison intent"
ACT-023,AG03,"/funkciok page has no internal links to supporting content pillar pages — broken topical authority flow",P2,READY,XS,Engineering,,"https://panellako.hu/funkciok","Add outgoing links from /funkciok to /tarsashaz-kezeles and key cluster articles to complete hub-and-spoke link equity flow"
ACT-024,AG08,"Zero author attribution on all 27 article-schema pages — critical YMYL E-E-A-T gap",P0,READY,M,Content,ACT-010,"https://panellako.hu/tarsashazi-jog/* https://panellako.hu/tarsashaz-kezeles/*","Add 'Szerkesztette: PanelLakó szerkesztőség' bylines; for tarsashazi-jog/* add legal expert reviewer attribution with credentials"
ACT-025,AG08,"Trust statistics ('300+ épület' '98% elégedettség') unverifiable — E-E-A-T risk",P1,READY,S,Content,,"https://panellako.hu/ https://panellako.hu/rolunk","Add footnote citation or replace with verifiable specific testimonials; or add methodology transparency page"
ACT-026,AG08,"About page /rolunk has no named team members or professional credentials",P1,READY,S,Content,,"https://panellako.hu/rolunk","Add 2-3 named team members with role title, bio, LinkedIn; add Person schema for each"
ACT-027,AG08,"No third-party reviews, press mentions, or directory listings linked anywhere",P1,READY,L,Content,ACT-026,"https://panellako.hu/ https://panellako.hu/rolunk","Claim G2/Capterra profiles; add to sameAs arrays; pursue Portfolio.hu or sector press for domain mentions"
ACT-028,AG08,"sameAs arrays empty on all Organization/SoftwareApplication schemas",P2,READY,XS,Engineering,ACT-027,"https://panellako.hu (all pages)","Populate sameAs with LinkedIn company page, GitHub org, any G2/Capterra profile URLs"
ACT-029,AG08,"/rolunk ContactPoint schema has no telephone — reduces trust and schema completeness",P2,READY,XS,Content,,"https://panellako.hu/kapcsolat","Add +36 phone number or live-chat/Calendly link; add telephone to ContactPoint schema"
ACT-030,AG08,"Homepage lacks concise declarative LLM-extractable product fact paragraph",P2,READY,XS,Content,,"https://panellako.hu/","Add 2-3 sentence 'Röviden a PanelLakóról' paragraph with jurisdiction, compliance, price frame — optimized for AI Overview extraction"
ACT-031,AG08,"/adatforrasok has Dataset schema but no FAQPage — missed LLM credibility signal",P3,READY,S,Content,,"https://panellako.hu/adatforrasok","Add FAQ section ('Milyen gyakran frissülnek az adatok?') with FAQPage schema"
ACT-032,AG08,"Pillar hub page /tarsashaz-kezeles lacks CollectionPage/Article schema — content hierarchy gap",P2,READY,S,Engineering,,"https://panellako.hu/tarsashaz-kezeles","Add CollectionPage or Article schema to the hub so cluster Article schemas can correctly point up to it"
ACT-033,AG06+AG02,"Missing conversion page: no dedicated /ingyenes-proba landing page for free-trial transactional queries",P0,READY,M,Engineering+Content,,"(new page)","Create /ingyenes-proba with conversion-only layout targeting 'ingyenes társasházi szoftver' 'közös képviselő program ingyenes próba' — near-zero competition high-intent queries"
ACT-034,AG02+AG06,"Missing content: no accountant/könyvelő persona page — multiplier persona (1 accountant = 10-50 buildings)",P0,READY,M,Content,,"(new page)","Create /funkciok/konyveloknek targeting 'társasházi könyvelő szoftver' 'kettős könyvelés program' — highest conversion multiplier persona unaddressed"
ACT-035,AG06+AG02,"Missing content: no competitor comparison page (PanelLakó vs eHÁZ / vs OnlineHáz)",P0,READY,L,Content,ACT-022,"(new pages)","Create /osszehasonlitas/panellako-vs-ehaz and /osszehasonlitas/panellako-vs-onlinehaz — highest conversion-intent queries with zero current content"
ACT-036,AG06,"SERP gap: eHÁZ is primary competitor (~13K buildings AI-enhanced) — needs monitoring and differentiation copy",P0,READY,M,SEO+Content,,"https://panellako.hu/ https://panellako.hu/funkciok","Lead product pages with environmental data differentiation angle (levegőminőség + transit + green score) which eHÁZ completely lacks"
ACT-037,AG06+AG07,"Missing content: közös képviselő feladatai comprehensive guide (1500-2000 words) — WHM Cloud currently ranks",P0,READY,M,Content,,"https://panellako.hu/tarsashaz-kezeles/kozos-kepviselo-feladatai","Expand existing page to 1500-2000w with 40-word definition block for featured snippet + FAQPage schema covering top 5 PAA questions"
ACT-038,AG06,"SERP gap: levegőminőség Budapest cluster — zero competition from HOA software vendors",P0,READY,L,Content+Engineering,,"https://panellako.hu/levegominoseg-budapest","Highest-priority TOFU investment: interactive /elemzes/budapest-levegominoseg data page + 2000w hub article 'Budapest levegőminősége kerületenként'"
ACT-039,AG07,"Missing topical pillar: Épületfelújítás és Pályázatok (Otthon Felújítási Program EU kohéziós METÁR)",P0,READY,L,Content,ACT-001,"(new pillar)","Create /finanszirozas-palyazatok pillar with 4+ cluster articles covering major Hungarian renovation grants — high-intent TOFU/MOFU"
ACT-040,AG07,"Missing cluster articles: Zajszennyezés pillér only 2 articles — needs 3 more",P1,READY,M,Content,,"https://panellako.hu/zajszennyezes-budapest","Add: /ejszakai-zaj-belvaros /repuloteri-zaj-budapest /zajmeres-modszerek"
ACT-041,AG07,"Missing cluster articles: Klímakockázat pillér only 3 articles — needs 2-3 more",P1,READY,M,Content,,"https://panellako.hu/klimakockazat-epuleteknel","Add: /pinceter-arviz-vedelem /futesi-rendszer-korszenitese /legkondi-panel-tarsashazban"
ACT-042,AG07,"Missing cluster articles: Levegőminőség pillér — ventilláció légtisztító szezonális cikkek hiányoznak",P1,READY,M,Content,,"https://panellako.hu/levegominoseg-budapest","Add: /legtisztito-valasztas-panellakasba /szellozetes-tarsashazban /futesi-szezon-levegominoseg"
ACT-043,AG07,"Missing cluster articles: Társasházi Jog pillér only 3 articles — albérlet öröklés mélygarázs hiányoznak",P1,READY,M,Content,,"https://panellako.hu/tarsashazi-jog","Add: /alberlet-tarsashazban /orokles-tulajdonosvaltas /melygarazs-tarolo-jogi-statusz"
ACT-044,AG07,"Missing cluster articles: Tömegközlekedés pillér only 2 articles — CTA also missing from pillar page",P1,READY,M,Content,,"https://panellako.hu/tomegkozlekedes-elemzes","Add: /kerekpar-infrastruktura-budapest /park-and-ride-budapest + add free trial CTA to pillar page footer"
ACT-045,AG07,"Missing topical pillar: Társasházi Biztosítás — jogi kötelezettség témakör teljesen hiányzik",P0,READY,S,Content,,"(new cluster article)","Create /tarsashaz-kezeles/tarsashazi-biztositas MOFU cluster article; covers mandatory building insurance — legally guaranteed search demand"
ACT-046,AG07,"FAQ schema missing from all 6 pillar hub pages — no FAQPage JSON-LD on any pillar",P1,READY,M,Engineering+SEO,,"https://panellako.hu/tarsashaz-kezeles https://panellako.hu/levegominoseg-budapest (all pillars)","Add FAQPage JSON-LD with 3-5 Q&A pairs to each pillar hub page — fastest rich-result and CTR improvement tactic"
ACT-047,AG02,"Missing content: no 'Budapest kerületek élhetőség összehasonlítás' synthesis article",P1,READY,L,Content,ACT-038,"(new page)","Create synthesis article combining levegőminőség + zaj + közlekedés + hőszigetek + zöldterület data — uniquely ownable by panellako.hu"
ACT-048,AG06+AG02,"Missing content: online közgyűlés jogszabályi háttere informational article",P1,READY,S,Content,,"https://panellako.hu/tarsashaz-kezeles/online-kozgyules-jogszabalyok (new)","Create legal background article targeting 'hogyan jogilag érvényes az online közgyűlés?' — neither ekozgyules.com nor honline.hu covers this informational angle"
ACT-049,AG06,"SERP gap: közgyűlési meghívó sablon letöltés — lead magnet completely absent",P1,READY,S,Content,,"https://panellako.hu/tarsashaz-kezeles/kozgyules-osszehivasa","Add downloadable közgyűlési meghívó template as lead magnet — drives email capture and differentiates from competitor legal-only articles"
ACT-050,AG06,"SERP gap: közös költség nyilvántartás — no dedicated feature+content page",P1,READY,M,Content,,"https://panellako.hu/tarsashaz-kezeles/kozos-koltseg-nyilvantartas","Expand to 1200w guide with 40-word definition block for featured snippet; add /funkciok/penzugyi-riportok BOFU page"
ACT-051,AG04,"No Next/Image component convention — raster images added in future will be unoptimized",P2,READY,XS,Engineering,,"All pages","Add ESLint rule @next/next/no-img-element and team convention to enforce next/image for all raster images"
ACT-052,AG04,"Middleware executes 2 sequential Supabase calls on every /w/ request — TTFB risk",P2,READY,M,Engineering,,"https://panellako.hu/w/* (authenticated)","Cache subscription check in Vercel KV with 60s TTL; add sitemap.xml and robots.txt to middleware exclusion pattern"
ACT-053,AG04,"eslint-config-next pinned to 14.2.22 but runtime next is 14.2.30 — version mismatch",P3,READY,XS,Engineering,,"package.json","Align eslint-config-next to ^14.2.30"
ACT-054,AG04,"CSP connect-src missing https://eu.posthog.com — PostHog feature flags may silently fail",P3,READY,XS,Engineering,,"All pages (PostHog CSP)","Add https://eu.posthog.com to connect-src in next.config.mjs"
ACT-055,AG04,"SoftwareApplication sameAs array empty — Knowledge Graph entity disambiguation missed",P3,READY,XS,Engineering,ACT-028,"https://panellako.hu","Populate sameAs with LinkedIn company page GitHub org or any G2/Capterra profile"
ACT-056,AG06,"napelem társasházban cluster — September 2025 regulatory change creates high-demand content gap",P1,READY,M,Content,,"https://panellako.hu/zold-tarsashaz/napelem-tarsashazban","Expand to 1500w with legal requirements checklist common-meeting decision flowchart and energiaközösség data management bridge to PanelLakó"
ACT-057,AG08,"Organization schema duplicated and divergent across layout.tsx and rolunk/page.tsx",P1,READY,S,Engineering,ACT-009,"https://panellako.hu https://panellako.hu/rolunk","Consolidate: SoftwareApplication @id in layout; full Organization @id only on /rolunk; remove duplicate"
ACT-058,AG08,"FAQPage schema missing from /arak despite 4-item payment FAQ section",P1,READY,S,Engineering,,"https://panellako.hu/arak","Add FAQPage JSON-LD to /arak for the existing payment/trial FAQ section"
ACT-059,AG08,"/tarsashaz-kezeles hub missing CollectionPage or Article schema",P2,READY,S,Engineering,,"https://panellako.hu/tarsashaz-kezeles","Add CollectionPage schema so cluster Article schemas can link back to hub correctly"
ACT-060,AG02,"Expand /gyik to 20+ FAQs under 200 words each — highest LLM extractability ROI",P1,READY,M,Content,,"https://panellako.hu/gyik","Add ~8 more Q&A pairs covering árak funkciók adatbiztonság könyvelés — highest LLM-extractable format"
